"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 15 17:33:44 CST 2022","Wed Jun 15 17:33:44 CST 2022","88","web_testcase.api","test_all_api","TestAllApi","","","test_all_api[caseinfo3]",""
"passed","Wed Jun 15 17:33:44 CST 2022","Wed Jun 15 17:33:44 CST 2022","66","web_testcase.api","test_all_api","TestAllApi","","","test_all_api[caseinfo1]",""
"passed","Wed Jun 15 17:33:44 CST 2022","Wed Jun 15 17:33:44 CST 2022","71","web_testcase.api","test_all_api","TestAllApi","","","test_all_api[caseinfo4]",""
"passed","Wed Jun 15 17:33:43 CST 2022","Wed Jun 15 17:33:43 CST 2022","172","web_testcase.api","test_login","TestLogin","","","test_login[caseinfo0]",""
"passed","Wed Jun 15 17:33:44 CST 2022","Wed Jun 15 17:33:44 CST 2022","85","web_testcase.api","test_all_api","TestAllApi","","","test_all_api[caseinfo8]",""
"passed","Wed Jun 15 17:33:44 CST 2022","Wed Jun 15 17:33:44 CST 2022","96","web_testcase.api","test_all_api","TestAllApi","","","test_all_api[caseinfo7]",""
"passed","Wed Jun 15 17:33:43 CST 2022","Wed Jun 15 17:33:44 CST 2022","83","web_testcase.api","test_all_api","TestAllApi","","","test_all_api[caseinfo0]",""
"passed","Wed Jun 15 17:33:44 CST 2022","Wed Jun 15 17:33:44 CST 2022","72","web_testcase.api","test_all_api","TestAllApi","","","test_all_api[caseinfo5]",""
"passed","Wed Jun 15 17:33:44 CST 2022","Wed Jun 15 17:33:44 CST 2022","78","web_testcase.api","test_all_api","TestAllApi","","","test_all_api[caseinfo6]",""
"passed","Wed Jun 15 17:33:44 CST 2022","Wed Jun 15 17:33:44 CST 2022","103","web_testcase.api","test_all_api","TestAllApi","","","test_all_api[caseinfo2]",""
